Source_Name,AllWISE,Host_RA,Host_DEC,LOFAR_RA_errRad,LOFAR_DEC_errRad,Host_RA_errOpt,Host_DEC_errOpt,W1mag,i
ILTJ104416.22+524037.3,J104416.30+524055.6,161.06802827,52.68209684,0.3232430423275537,0.3841135475294598,0.0033700000494718,0.0055999998003244,16.616405960312573,17.96884303735513
ILTJ104438.12+521539.4,J104438.60+521537.4,161.16096728,52.26041943,0.1399308341566041,0.1238288240815737,0.0100999996066093,0.0107199996709823,17.446859819443404,19.52484587635644
ILTJ104457.50+514630.7,J104457.46+514630.5,161.23943769,51.77509983,0.1124698749448569,0.0626769538635109,0.0247399993240833,0.0345799997448921,19.01443334836357,20.95420843331512
ILTJ104514.35+510848.2,J104514.22+510848.2,161.30928629,51.14669414,0.078983812605217,0.0821216303976071,0.0057399999350309,0.0067699998617172,17.562014702441164,19.053049953154105
ILTJ104540.87+522245.2,J104540.77+522241.2,161.41976179,52.3781618,0.1166836805684935,0.1303816620000809,0.0085399998351931,0.0107399998232722,17.70309261787689,19.792102895580804
ILTJ104542.54+525111.5,J104542.17+525112.5,161.42575124,52.85350423,0.0445599716341947,0.0183506103654217,0.0060100001282989,0.0035200000274926,17.02361137069506,17.95493540524841
ILTJ104543.54+525016.4,J104544.05+525017.2,161.4336057,52.83806695,1.1230798252682583,1.126387740947646,0.0038399999029934,0.0059099998325109,16.967644627614128,18.605558903373517
ILTJ104600.84+531723.6,J104600.68+531723.6,161.50287956,53.28980834,0.1237712367811786,0.5477988435511248,0.0130200004205107,0.0154499998316168,18.392484211886853,20.2443020692344
ILTJ104609.74+505621.3,J104609.67+505620.0,161.54069747,50.93874612,0.0640849368008528,0.0313149257476488,0.0085699995979666,0.0117499995976686,17.33979951061189,19.506163263984657
ILTJ104611.79+522931.2,J104614.79+522906.2,161.56166684,52.48514815,0.9460482820193242,0.4911594403372321,0.0061300001107156,0.0134600000455975,16.85983243139241,19.486278804981414
ILTJ104639.43+522259.3,J104639.57+522301.0,161.66487635,52.38357633,0.0857728173502695,0.0398085774986467,0.0070299999788403,0.0189599990844726,18.842039798064253,19.28149124928813
ILTJ104650.69+544807.2,J104648.76+544803.8,161.7031807,54.80106515,1.1829042506878755,1.4087196442307723,0.0066399998031556,0.0105299996212124,16.867652452771555,18.499933343548747
ILTJ104651.22+505223.4,J104651.75+505226.4,161.71569815,50.8742223,0.215691864372118,0.2566698055059862,0.0125700002536177,0.0163100007921457,17.921805379479963,20.232920008117546
ILTJ104655.51+515024.7,J104655.25+515026.3,161.7305447,51.84069309,0.1377751431541717,0.2367592173464144,0.0127499997615814,0.0168099999427795,18.512683753401276,20.47493781811686
ILTJ104706.09+534417.1,J104705.99+534419.1,161.77508366,53.73870644,0.1611340924395174,0.2056795311955878,0.0242999996989965,0.0396500006318092,18.43840596031257,20.80314403222817
ILTJ104713.41+510751.5,J104713.36+510752.2,161.80595896,51.13080354,0.1053375876755569,0.0898091283913316,0.0243699997663497,0.0343200005590915,17.618419654338073,20.364157596787894
ILTJ104713.87+530240.3,J104715.89+530255.2,161.81626628,53.04870571,0.1213053474022218,0.2582512536413137,0.0098700001835823,0.012810000218451,18.00974439837134,19.87032612626445
ILTJ104717.05+523212.4,J104716.85+523211.5,161.82024872,52.53645048,0.1768924957382136,0.1649158600539277,0.01570999994874,0.0253299996256828,18.57854485685692,20.48978994098062
ILTJ104717.96+523226.7,J104717.95+523223.2,161.82480759,52.53977748,0.2166278605559922,0.2844967235636296,0.0106499996036291,0.0077800001017749,17.373540944278204,19.13155192438422
ILTJ104725.20+480043.4,J104725.11+480050.3,161.85470905,48.01400367,0.6246171246579164,0.3011630659592093,0.0415799990296363,0.0440500006079673,18.197742778220537,21.286012407858276
